Candidate_ID,Location,Profile_Role,Core_Competency,Years_Experience,Estimated_Availability_Days,Data_Source
PFG-9092,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",8,15,Local Job Board
PFG-4862,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",3,50,Upwork API
PFG-4462,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",7,44,Local Job Board
PFG-8484,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",1,24,Local Job Board
PFG-4374,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",8,46,Upwork API
PFG-6157,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,2,35,LinkedIn Scrape
PFG-7823,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",1,34,Upwork API
PFG-2242,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",6,42,Local Job Board
PFG-7279,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,3,45,LinkedIn Scrape
PFG-3542,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",5,54,Local Job Board
PFG-5897,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",9,17,Upwork API
PFG-3392,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",6,25,Local Job Board
PFG-3449,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",5,34,Local Job Board
PFG-2736,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",2,38,Upwork API
PFG-9635,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",5,35,Upwork API
PFG-8007,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",3,25,Upwork API
PFG-5622,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",8,55,LinkedIn Scrape
PFG-4651,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",5,37,Local Job Board
PFG-3170,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,9,51,Local Job Board
PFG-5999,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",1,38,LinkedIn Scrape
PFG-3669,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",3,37,LinkedIn Scrape
PFG-8655,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",4,18,Local Job Board
PFG-8902,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",8,52,LinkedIn Scrape
PFG-2925,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",1,19,Upwork API
PFG-6738,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",8,30,LinkedIn Scrape
PFG-6706,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",7,17,Upwork API
PFG-9316,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,8,47,Local Job Board
PFG-9814,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,10,33,Upwork API
PFG-2933,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,3,59,LinkedIn Scrape
PFG-3490,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",5,20,LinkedIn Scrape
PFG-2751,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",5,46,LinkedIn Scrape
