Location,Profile_Role,Talent_Pool_Size,Avg_Days_to_Available,Avg_Experience_Years
"Accra, Ghana",Community Engagement Lead,7,35.0,4.3
"Accra, Ghana",ESG Compliance Officer,9,37.0,6.3
"Accra, Ghana",Field Data Engineer,18,37.0,5.0
"Accra, Ghana",Site Surveyor,12,37.0,5.3
"Copperbelt, Zambia",Community Engagement Lead,10,39.0,6.0
"Copperbelt, Zambia",ESG Compliance Officer,13,37.0,6.0
"Copperbelt, Zambia",Field Data Engineer,16,38.0,5.4
"Copperbelt, Zambia",Site Surveyor,10,41.0,6.0
"Gauteng, South Africa",Community Engagement Lead,14,36.0,4.7
"Gauteng, South Africa",ESG Compliance Officer,12,37.0,6.8
"Gauteng, South Africa",Field Data Engineer,12,40.0,6.3
"Gauteng, South Africa",Site Surveyor,17,37.0,4.5
"Kano, Nigeria",Community Engagement Lead,7,29.0,4.9
"Kano, Nigeria",ESG Compliance Officer,12,37.0,5.8
"Kano, Nigeria",Field Data Engineer,8,34.0,6.5
"Kano, Nigeria",Site Surveyor,14,33.0,6.1
"Nairobi, Kenya",Community Engagement Lead,11,36.0,4.6
"Nairobi, Kenya",ESG Compliance Officer,16,31.0,5.4
"Nairobi, Kenya",Field Data Engineer,18,34.0,4.9
"Nairobi, Kenya",Site Surveyor,14,30.0,6.4
